name,status,institution,field,freq,impact,annual,total,hits,href
공존협력연구 (Jurnal of Coexistence and Collaboration),,한국방송통신대학교 산학협력단 공존협력연구소,,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000011409&sereSearBean.sereId=SER000003860
Asia Business and Service Innovation (Asia Business and Service Innovation),,외식서비스경영학회,경영전략/정책,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000069252&sereSearBean.sereId=SER000006868
산업혁신연구,KCI 등재,경성대학교 산업개발연구소,경영전략/정책,연4회,3.34,발행논문 : 연간 51건,총 논문 : 960건,정책;전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003440&sereSearBean.sereId=SER000011990
산업혁신연구 (Journal of Industrial Innovation),KCI 등재,경성대학교 산업개발연구소,경영전략/정책,연4회,3.34,발행논문 : 연간 51건,총 논문 : 960건,정책;전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003440&sereSearBean.sereId=SER000011990
Jouranl of Information Technology Applications & Management (Journal of Information Technology Applications & Management),,한국정보기술응용학회,경영정보시스템,연4회,0.67,발행논문 : 연간 0건,총 논문 : 0건,국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001755&sereSearBean.sereId=SER000009998
Journal of Information Technology Applications & Management (Journal of Information Technology Applications & Management),KCI 등재,한국데이터전략학회,경영학,연6회,0.67,발행논문 : 연간 41건,"총 논문 : 1,036건",전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000014&sereSearBean.sereId=000870
Journal of Information Technology Applications & Menagement (Journal of Information Technology Applications & Menagement),KCI 등재,한국데이터전략학회,경영학,연6회,0.67,발행논문 : 연간 41건,"총 논문 : 1,036건",전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000014&sereSearBean.sereId=000870
광고연구 (Advertising Research),,한국방송광고공사,경영학,연4회,0,발행논문 : 연간 36건,총 논문 : 290건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002583&sereSearBean.sereId=000222
전략경영연구 (Journal of Strategic Management),KCI 등재,한국전략경영학회,경영학,연3회,0.81,발행논문 : 연간 13건,총 논문 : 317건,전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001631&sereSearBean.sereId=001201
정보시스템연구 (The Journal of Information Systems),KCI 등재,한국정보시스템학회,경영학,연4회,1.24,발행논문 : 연간 36건,총 논문 : 896건,국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000729&sereSearBean.sereId=001596
해양리더십융합연구 (Journal of Maritime Leadership and Convergence Studies),,해군리더십센터,경영학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000081784&sereSearBean.sereId=SER000006873
미래성장연구 (Future Growth Studies),KCI 등재,고려대학교 미래성장연구원,경제정책,연2회,0.75,발행논문 : 연간 7건,총 논문 : 85건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000011490&sereSearBean.sereId=SER000004477
산업연구(JIET) (Journal of Industrial Economics and Trade),KCI 등재,산업연구원,경제정책,연2회,0.75,발행논문 : 연간 9건,총 논문 : 93건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000046816&sereSearBean.sereId=SER000005103
예산정책연구 (Journal of Budget and Policy),KCI 등재,국회예산정책처,경제정책,연4회,0.46,발행논문 : 연간 16건,총 논문 : 235건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000041883&sereSearBean.sereId=SER000004172
East Asian Economic Review (East Asian Economic Review),KCI 등재,대외경제정책연구원,경제학,연4회,0.28,발행논문 : 연간 16건,총 논문 : 467건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002575&sereSearBean.sereId=001399
