status,deadline,venue,kci_status,field,issue_or_publication,fit,source_url,notes
확정,2026-07-15,한국정책과학학회보,KCI 등재,정책학,제3호 발간일 2026-09-30,정책과정·담론·NPF·정책이론,https://www.kaps21.or.kr/thesis/submission-guide,"매년 제3호 원고마감 7월 15일"
확정,2026-07-15,한국사회정책,KCI 등재,사회정책·복지정책,제3호 발간일 2026-09-30,정책피드백·대상집단·사회정책,https://kasp.re.kr/form/form_writing.pdf,"논문 투고는 수시 가능, 제3호 투고마감일 7월 15일"
확정,2026-07-17,한국지방행정학회보,KCI 등재,지방행정,제23권 제2호 발간일 2026-08-31,지방정책·지역행정,https://www.kala.kr/bbs/board.php?bo_table=notice&wr_id=1006,"2026년 7월 17일까지 모집"
확정,2026-07-25,행정논총,KCI 등재,행정학,제3호 발간일 2026-09-30,완성도 높은 일반 행정학 원고,https://gspa.snu.ac.kr/kr/research/academic/treatises,"제3호 원고마감 7월 25일"
확정,2026-07-30,국방연구,KCI 등재,국방·안보·정책학,제3호 발간일 2026-09-30,국방정책·안보정책·민군관계,https://rinsa.jams.or.kr/co/com/EgovMenu.kci?notiSeq=000000010873&s_MenuId=MENU-000000000061000&s_url=%2Fpo%2Fcommunity%2Fnotice%2FnoticeView.kci,"상시접수, 각 호 마감 1/30·4/30·7/30·10/30"
확정,2026-07-30,한국동북아논총,KCI 등재,동북아·국제관계·안보,제31권 제3호 발간일 2026-09-30,민군관계·국제안보·통일/북한정책,https://knea96.or.kr/board/notice/article/277868,"원고마감 2026년 7월 30일 23:59"
확정,2026-07-31,한국행정논집,KCI 등재,행정학,제38권 제3호 발간일 2026-09-30,행정·정책 일반,https://kagos.net/board/notice/article/277929,"공지 이미지 기준 모집기간 2026년 7월 31일까지"
확정,2026-07-31,경찰법학,KCI 확인,경찰법·공공안전,제6권 제1호 통권 제7호,치안·공안행정·경찰법제,https://www.kci.go.kr/kciportal/ss-mng/bbs/bbsFreeBoardList.kci?boardBean.boarSequ=000000000604,"KCI 자유게시판 및 경찰법학 공지 기준 논문 모집 연장 2026년 7월 31일까지"
확정,2026-07-31,한국보훈논총,KCI 등재,보훈정책·보훈행정·사회정책,제25권 제3호 발간일 2026-09-30,보훈정책·군사회복지·민군관계/정책대상집단,https://www.kapvas.or.kr/?c=4%2F92,"투고안내 기준 제3호 원고마감 매년 7월 31일·발간일 매년 9월 30일"
확정,2026-08-03,현대사회와 행정,KCI 등재,행정학,제36권 제3호 발간일 2026-09-30,정책담론·관료제·국정관리 일반,https://www.kags.or.kr/bbs/board.php?bo_table=notice&page=4&wr_id=174,"2026년 8월 3일까지, 이후 접수 시 다음호"
